fSalesPrimaryKey,ProductID,SalesRepID,Geokey,ProductName,Category,SubCategoryName,Color,RetailPrice,StandardCost,SalesRepName,Date,Country,Town,Units,PercentOfStandardCost,RevenueDiscount,TotalRevenue,TotalCost,GrossProfit
39664,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Wednesday 1 March 2017,Germany,Frankfurt,164,0.967,0.55,4419.8,1353,3066.8
43010,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Friday 18 August 2017,Germany,Frankfurt,150,0.985,0.55,4042.5,1237.5,2805
44455,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Sunday 9 July 2017,Germany,Frankfurt,160,0.981,0.55,4312,1320,2992
45882,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Thursday 22 June 2017,Germany,Frankfurt,157,0.98,0.55,4231.15,1295.25,2935.9
47143,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Wednesday 2 August 2017,Germany,Frankfurt,161,0.985,0.55,4338.95,1328.25,3010.7
48554,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Sunday 29 October 2017,Germany,Frankfurt,172,0.993,0.55,4635.4,1419,3216.4
48958,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Monday 24 April 2017,Germany,Frankfurt,152,0.975,0.55,4096.4,1254,2842.4
49264,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Tuesday 7 November 2017,Germany,Frankfurt,151,0.993,0.55,4069.45,1245.75,2823.7
52720,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Friday 1 September 2017,Germany,Frankfurt,156,0.987,0.55,4204.2,1287,2917.2
53429,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Saturday 8 April 2017,Germany,Frankfurt,162,0.974,0.55,4365.9,1336.5,3029.4
53629,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Sunday 25 June 2017,Germany,Frankfurt,168,0.981,0.55,4527.6,1386,3141.6
12361,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Tuesday 6 January 2015,Germany,Frankfurt,125,0.97,0.55,3368.75,1031.25,2337.5
12413,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Wednesday 7 January 2015,Germany,Frankfurt,148,0.966,0.55,3988.6,1221,2767.6
12565,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Monday 12 January 2015,Germany,Frankfurt,113,0.972,0.55,3045.35,932.25,2113.1
12645,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Wednesday 14 January 2015,Germany,Frankfurt,125,0.971,0.55,3368.75,1031.25,2337.5
12690,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Thursday 15 January 2015,Germany,Frankfurt,124,0.961,0.55,3341.8,1023,2318.8
12698,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Thursday 15 January 2015,Germany,Frankfurt,108,0.961,0.55,2910.6,891,2019.6
12824,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Tuesday 20 January 2015,Germany,Frankfurt,146,0.966,0.55,3934.7,1204.5,2730.2
12868,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Wednesday 21 January 2015,Germany,Frankfurt,141,0.964,0.55,3799.95,1163.25,2636.7
13074,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Monday 26 January 2015,Germany,Frankfurt,111,0.96,0.55,2991.45,915.75,2075.7
13118,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Tuesday 27 January 2015,Germany,Frankfurt,126,0.96,0.55,3395.7,1039.5,2356.2
13158,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Wednesday 28 January 2015,Germany,Frankfurt,145,0.953,0.55,3907.75,1196.25,2711.5
13164,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Wednesday 28 January 2015,Germany,Frankfurt,132,0.953,0.55,3557.4,1089,2468.4
13170,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Wednesday 28 January 2015,Germany,Frankfurt,107,0.953,0.55,2883.65,882.75,2000.9
13713,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Thursday 12 February 2015,Germany,Frankfurt,130,0.964,0.55,3503.5,1072.5,2431
13718,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Thursday 12 February 2015,Germany,Frankfurt,119,0.964,0.55,3207.05,981.75,2225.3
13772,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Friday 13 February 2015,Germany,Frankfurt,109,0.968,0.55,2937.55,899.25,2038.3
14046,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Friday 20 February 2015,Germany,Frankfurt,116,0.962,0.55,3126.2,957,2169.2
14051,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Friday 20 February 2015,Germany,Frankfurt,113,0.962,0.55,3045.35,932.25,2113.1
14186,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Wednesday 25 February 2015,Germany,Frankfurt,109,0.958,0.55,2937.55,899.25,2038.3
14353,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Wednesday 4 March 2015,Germany,Frankfurt,142,0.974,0.55,3826.9,1171.5,2655.4
14376,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Wednesday 4 March 2015,Germany,Frankfurt,101,0.974,0.55,2721.95,833.25,1888.7
14406,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Thursday 5 March 2015,Germany,Frankfurt,149,0.962,0.55,4015.55,1229.25,2786.3
14407,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Thursday 5 March 2015,Germany,Frankfurt,146,0.962,0.55,3934.7,1204.5,2730.2
14874,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Friday 20 March 2015,Germany,Frankfurt,148,0.96,0.55,3988.6,1221,2767.6
14921,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Monday 23 March 2015,Germany,Frankfurt,133,0.957,0.55,3584.35,1097.25,2487.1
14927,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Monday 23 March 2015,Germany,Frankfurt,108,0.957,0.55,2910.6,891,2019.6
14959,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Tuesday 24 March 2015,Germany,Frankfurt,131,0.967,0.55,3530.45,1080.75,2449.7
15013,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Wednesday 25 March 2015,Germany,Frankfurt,125,0.969,0.55,3368.75,1031.25,2337.5
15058,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Thursday 26 March 2015,Germany,Frankfurt,118,0.964,0.55,3180.1,973.5,2206.6
15121,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Friday 27 March 2015,Germany,Frankfurt,105,0.965,0.55,2829.75,866.25,1963.5
15253,7,7,3,Bing,Special,Extra,Red,26.95,8.25,John White,Tuesday 31 March 2015,Germany,Frankfurt,139,0.951,0.55,3746.05,1146.75,2599.3
